Event name,Event type,Event region,Student token,Student state,Attendance State,Attended,Current situation,Institution,Qualification,Year of study,Final year?,Region interests,Created at
CV (part 1),Career Bootcamp,Wellington,541fb02ad57173bf06b2860547870038,preparing,registered,TRUE,studying,Victoria University of Wellington,BEng(Hons) in Electronics and Computer Systems E,3,FALSE,Wellington,2017-03-07 18:23:24 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,541fb02ad57173bf06b2860547870038,preparing,registered,TRUE,studying,Victoria University of Wellington,BEng(Hons) in Electronics and Computer Systems E,3,FALSE,Wellington,2017-03-07 18:24:21 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,f15eaad7cae4611a51ec55c6bd4c647c,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Science in Computer Science,2,FALSE,"Auckland, Christchurch, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-07 21:10:20 +1300
CV (part 1),Career Bootcamp,Wellington,f15eaad7cae4611a51ec55c6bd4c647c,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Science in Computer Science,2,FALSE,"Auckland, Christchurch, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-07 21:13:10 +1300
CV (Part 2),Career Bootcamp,Wellington,f15eaad7cae4611a51ec55c6bd4c647c,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Science in Computer Science,2,FALSE,"Auckland, Christchurch, Hamilton, PalmerstonNorth, Tauranga, Wellington",2017-03-07 21:13:51 +1300
ICT Careers Intro for 1st years (ALL WELCOME THO!),Career Bootcamp,Wellington,74c26cd10821aa5b6deb9cbc84e2c990,preparing,registered,FALSE,studying,Victoria University of Wellington,BE software engineer,2,FALSE,Wellington,2017-03-07 21:28:58 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,74c26cd10821aa5b6deb9cbc84e2c990,preparing,registered,FALSE,studying,Victoria University of Wellington,BE software engineer,2,FALSE,Wellington,2017-03-07 21:29:22 +1300
CV (part 1),Career Bootcamp,Wellington,74c26cd10821aa5b6deb9cbc84e2c990,preparing,registered,TRUE,studying,Victoria University of Wellington,BE software engineer,2,FALSE,Wellington,2017-03-07 21:29:36 +1300
CV (Part 2),Career Bootcamp,Wellington,74c26cd10821aa5b6deb9cbc84e2c990,preparing,registered,FALSE,studying,Victoria University of Wellington,BE software engineer,2,FALSE,Wellington,2017-03-07 21:29:55 +1300
ICT Careers Intro for 1st years (ALL WELCOME THO!),Career Bootcamp,Wellington,c69cbe4446bc074817f3ea20ec2e745a,available,registered,FALSE,studying,Victoria University of Wellington,Post Graduate Diploma in Science (computer science) ,4,TRUE,Wellington,2017-03-08 13:53:06 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,86fdbf78f2631c6b9e515cc8abd617d8,hidden,registered,TRUE,studying,Victoria University of Wellington,"BCom Majoring in Information Systems, specializing in Business Analyst and Minoring in International Business",3,TRUE,"Auckland, Tauranga, Wellington",2017-03-08 16:11:20 +1300
CV (part 1),Career Bootcamp,Wellington,86fdbf78f2631c6b9e515cc8abd617d8,hidden,registered,TRUE,studying,Victoria University of Wellington,"BCom Majoring in Information Systems, specializing in Business Analyst and Minoring in International Business",3,TRUE,"Auckland, Tauranga, Wellington",2017-03-08 16:11:35 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,6a766d073db480a298104176e53e3f96,available,registered,TRUE,graduated,Victoria University of Wellington,BCOM in Information Systems and Management,3,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, Kaitaia, New Plymouth, PalmerstonNorth, Tauranga, Wellington",2017-03-08 22:45:45 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,28c4d1c55578f140f423c7c37d87be7d,hidden,registered,TRUE,graduated,Massey University (Wellington),"Bachelor of Design with Honours, VCD",1,TRUE,,2017-03-09 12:26:20 +1300
ICT Careers Intro for 1st years (ALL WELCOME THO!),Career Bootcamp,Wellington,4a5169dff4c3507efc9bb9e9c4f7bd90,available,registered,FALSE,studying,Whitireia New Zealand,Graduate Diploma In Software Development,4,TRUE,"Auckland, Christchurch, Dunedin, Hamilton, Kaitaia, Masterton, New Plymouth, PalmerstonNorth, Tauranga, Wanaka, Wellington",2017-03-09 13:49:16 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,0a73a8fa2bce82250d833d7e1dc8e417,available,registered,FALSE,studying,Victoria University of Wellington,BE HONS (Software Engineering),2,FALSE,Wellington,2017-03-09 15:36:50 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,0e1c3327fb9b06cc5e858df7792ff577,available,registered,FALSE,studying,Victoria University of Wellington,BE(Hons) Software,2,FALSE,"Auckland, Wellington",2017-03-09 15:49:46 +1300
CV (part 1),Career Bootcamp,Wellington,0e1c3327fb9b06cc5e858df7792ff577,available,registered,TRUE,studying,Victoria University of Wellington,BE(Hons) Software,2,FALSE,"Auckland, Wellington",2017-03-09 15:50:04 +1300
CV (Part 2),Career Bootcamp,Wellington,0e1c3327fb9b06cc5e858df7792ff577,available,registered,TRUE,studying,Victoria University of Wellington,BE(Hons) Software,2,FALSE,"Auckland, Wellington",2017-03-09 15:50:18 +1300
CV (part 1),Career Bootcamp,Wellington,1baf72b8b9ab57b7314776935ca22ee8,available,registered,TRUE,studying,Whitireia New Zealand,Post graduate diploma in information technology,1,TRUE,"Christchurch, Dunedin, Hamilton, Kaitaia, New Plymouth, PalmerstonNorth, Wanaka, Wellington",2017-03-10 10:47:33 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,1baf72b8b9ab57b7314776935ca22ee8,available,registered,FALSE,studying,Whitireia New Zealand,Post graduate diploma in information technology,1,TRUE,"Christchurch, Dunedin, Hamilton, Kaitaia, New Plymouth, PalmerstonNorth, Wanaka, Wellington",2017-03-10 10:56:38 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,60697ff55c05dbe73b47138490714263,available,registered,TRUE,studying,Victoria University of Wellington,BSc In Computer Science,4,TRUE,Wellington,2017-03-10 11:09:45 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,bab259ba7e4c4688417ea57b272c1951,preparing,registered,FALSE,studying,Victoria University of Wellington,BSc in Computer Science and Information Systems,3,FALSE,Wellington,2017-03-10 11:09:48 +1300
CV (part 1),Career Bootcamp,Wellington,bab259ba7e4c4688417ea57b272c1951,preparing,registered,FALSE,studying,Victoria University of Wellington,BSc in Computer Science and Information Systems,3,FALSE,Wellington,2017-03-10 11:10:05 +1300
CV (part 1),Career Bootcamp,Wellington,60697ff55c05dbe73b47138490714263,available,registered,TRUE,studying,Victoria University of Wellington,BSc In Computer Science,4,TRUE,Wellington,2017-03-10 11:10:12 +1300
CV (Part 2),Career Bootcamp,Wellington,60697ff55c05dbe73b47138490714263,available,registered,TRUE,studying,Victoria University of Wellington,BSc In Computer Science,4,TRUE,Wellington,2017-03-10 11:11:10 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,42758b5055652078ef6928cef48ceb62,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering (Hons) in Software Engineering,1,FALSE,Wellington,2017-03-10 11:23:39 +1300
CV (part 1),Career Bootcamp,Wellington,42758b5055652078ef6928cef48ceb62,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering (Hons) in Software Engineering,1,FALSE,Wellington,2017-03-10 11:23:53 +1300
CV (Part 2),Career Bootcamp,Wellington,42758b5055652078ef6928cef48ceb62,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering (Hons) in Software Engineering,1,FALSE,Wellington,2017-03-10 11:26:06 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,85fe6c3b1fe316e4e49068a8a953ac50,preparing,registered,TRUE,studying,Victoria University of Wellington,Software Engineering,1,FALSE,Wellington,2017-03-10 11:28:47 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,1c5acbd3c76406c52f184bd2b642e72b,preparing,registered,FALSE,studying,Victoria University of Wellington,BE (Hons),1,FALSE,,2017-03-10 11:29:22 +1300
CV (part 1),Career Bootcamp,Wellington,95ef4fac7d5586ebb7f7327fbc6b834f,preparing,registered,FALSE,studying,Victoria University of Wellington,BEngHons in Electronics and Computer Systems,1,FALSE,"Wellington, Christchurch",2017-03-10 11:30:09 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,95ef4fac7d5586ebb7f7327fbc6b834f,preparing,registered,TRUE,studying,Victoria University of Wellington,BEngHons in Electronics and Computer Systems,1,FALSE,"Wellington, Christchurch",2017-03-10 11:31:15 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,5337d06cda1376c14c3c19a52ec55965,available,registered,TRUE,studying,Victoria University of Wellington,BE in Software Engineering,2,FALSE,Wellington,2017-03-10 11:31:22 +1300
CV (part 1),Career Bootcamp,Wellington,526aa07a9c187991df6b7eaee548b7ba,available,registered,FALSE,studying,Victoria University of Wellington,BE/BCom in Software Eng / Economics,2,FALSE,Wellington,2017-03-10 11:48:55 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,e259909d26ed34c40c2dca68fb5f066d,preparing,registered,FALSE,studying,Victoria University of Wellington,Bachelor of Engineering with (Honours),1,FALSE,Wellington,2017-03-10 12:07:22 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,1f9289141e2c0d6d91e7ab0582969e31,available,registered,FALSE,studying,Victoria University of Wellington,BEHONS Electronic and Computer Systems engineeri,1,FALSE,"Hamilton, Tauranga, Wellington",2017-03-10 12:08:33 +1300
CV (Part 2),Career Bootcamp,Wellington,526aa07a9c187991df6b7eaee548b7ba,available,registered,FALSE,studying,Victoria University of Wellington,BE/BCom in Software Eng / Economics,2,FALSE,Wellington,2017-03-10 12:12:53 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,07e2acddc46d1941d7dd40023ca31541,preparing,late_withdrawal,FALSE,studying,Victoria University of Wellington,"BSc, Double Major in Information Systems & Statistics",2,FALSE,Wellington,2017-03-10 12:19:25 +1300
CV (part 1),Career Bootcamp,Wellington,07e2acddc46d1941d7dd40023ca31541,preparing,late_withdrawal,FALSE,studying,Victoria University of Wellington,"BSc, Double Major in Information Systems & Statistics",2,FALSE,Wellington,2017-03-10 12:20:00 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,66f8542e9f99d059bfbf5d503ecd10f3,available,registered,FALSE,studying,Whitireia New Zealand,Bachelor in Information Technology,3,TRUE,Wellington,2017-03-10 13:44:02 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,f8f62a85f7f740373b6349effc33315f,available,registered,TRUE,studying,Victoria University of Wellington,BEHONS in Electronic and Computer Engineering,1,FALSE,Wellington,2017-03-10 14:04:48 +1300
CV (part 1),Career Bootcamp,Wellington,f8f62a85f7f740373b6349effc33315f,available,late_withdrawal,FALSE,studying,Victoria University of Wellington,BEHONS in Electronic and Computer Engineering,1,FALSE,Wellington,2017-03-10 14:05:22 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,555dd2b497541a338d3356af9ecc859a,available,registered,FALSE,studying,Victoria University of Wellington,"Bachelor of Engineering with Honours, majoring in Electronic and Computer Systems Engineering",1,FALSE,Wellington,2017-03-10 14:05:25 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,14af804a3a447deadd1da760e144333d,available,registered,TRUE,studying,Victoria University of Wellington,BE (Hons) in Software Engineering,1,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, New Plymouth, PalmerstonNorth, Wellington",2017-03-10 14:47:18 +1300
CV (part 1),Career Bootcamp,Wellington,14af804a3a447deadd1da760e144333d,available,registered,TRUE,studying,Victoria University of Wellington,BE (Hons) in Software Engineering,1,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, New Plymouth, PalmerstonNorth, Wellington",2017-03-10 14:47:45 +1300
CV (Part 2),Career Bootcamp,Wellington,14af804a3a447deadd1da760e144333d,available,registered,FALSE,studying,Victoria University of Wellington,BE (Hons) in Software Engineering,1,FALSE,"Auckland, Christchurch, Dunedin, Hamilton, New Plymouth, PalmerstonNorth, Wellington",2017-03-10 14:48:22 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,32bdec49bfc54c97aab2fdeb75f95959,preparing,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering with Honours Majoring in Electronic and Computer Systems Engineering ,1,FALSE,Wellington,2017-03-10 14:51:39 +1300
CV (part 1),Career Bootcamp,Wellington,32bdec49bfc54c97aab2fdeb75f95959,preparing,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering with Honours Majoring in Electronic and Computer Systems Engineering ,1,FALSE,Wellington,2017-03-10 15:01:12 +1300
CV (Part 2),Career Bootcamp,Wellington,32bdec49bfc54c97aab2fdeb75f95959,preparing,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering with Honours Majoring in Electronic and Computer Systems Engineering ,1,FALSE,Wellington,2017-03-10 15:01:24 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,2d5697614e527a347b981decd9094826,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering majoring in Software ,1,FALSE,"Auckland, Christchurch, Hamilton, Tauranga, Wellington",2017-03-10 15:15:17 +1300
CV (part 1),Career Bootcamp,Wellington,2d5697614e527a347b981decd9094826,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering majoring in Software ,1,FALSE,"Auckland, Christchurch, Hamilton, Tauranga, Wellington",2017-03-10 15:15:55 +1300
CV (Part 2),Career Bootcamp,Wellington,2d5697614e527a347b981decd9094826,available,registered,FALSE,studying,Victoria University of Wellington,Bachelor of Engineering majoring in Software ,1,FALSE,"Auckland, Christchurch, Hamilton, Tauranga, Wellington",2017-03-10 15:16:05 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,3715db7464c948c34ac7a614e66222a2,preparing,registered,TRUE,studying,Victoria University of Wellington,BE(Hons) in Software Engineering,1,FALSE,Wellington,2017-03-10 15:28:48 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,fb3033e36cd8767d1d07a008a2606921,preparing,registered,FALSE,studying,Victoria University of Wellington,BEHONs in Software Engineering,1,FALSE,"Wellington, PalmerstonNorth",2017-03-10 15:31:09 +1300
CV (part 1),Career Bootcamp,Wellington,fb3033e36cd8767d1d07a008a2606921,preparing,registered,FALSE,studying,Victoria University of Wellington,BEHONs in Software Engineering,1,FALSE,"Wellington, PalmerstonNorth",2017-03-10 15:31:27 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,bb6eb510931d9ab4df7fe5b97a37ca7f,preparing,registered,FALSE,studying,Victoria University of Wellington,BE - Electronic and Computer Systems Engineering,1,FALSE,"Wellington, Auckland, Tauranga, Christchurch, Dunedin",2017-03-10 15:50:40 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,9475c7c22b2e9e8a90a1efdd2f25b192,preparing,registered,TRUE,studying,Victoria University of Wellington,BEng (Hons) in Software Engineering,1,FALSE,Wellington,2017-03-10 19:13:59 +1300
CV (Part 2),Career Bootcamp,Wellington,9475c7c22b2e9e8a90a1efdd2f25b192,preparing,registered,FALSE,studying,Victoria University of Wellington,BEng (Hons) in Software Engineering,1,FALSE,Wellington,2017-03-10 19:15:08 +1300
CV (part 1),Career Bootcamp,Wellington,9475c7c22b2e9e8a90a1efdd2f25b192,preparing,registered,TRUE,studying,Victoria University of Wellington,BEng (Hons) in Software Engineering,1,FALSE,Wellington,2017-03-10 19:15:12 +1300
CV (part 1),Career Bootcamp,Wellington,132dac33e699e0a89858240f9bcb5ef3,preparing,registered,TRUE,studying,Victoria University of Wellington,BEHONS in Software Engineering,1,TRUE,"Wellington, PalmerstonNorth",2017-03-10 19:58:35 +1300
CV (Part 2),Career Bootcamp,Wellington,132dac33e699e0a89858240f9bcb5ef3,preparing,registered,FALSE,studying,Victoria University of Wellington,BEHONS in Software Engineering,1,TRUE,"Wellington, PalmerstonNorth",2017-03-10 20:01:11 +1300
CV (part 1),Career Bootcamp,Wellington,d6b3c9c2960b70bf7c30e9b24476c0e7,preparing,registered,TRUE,studying,Victoria University of Wellington,BE Honours in Software ,1,FALSE,Wellington,2017-03-10 20:10:32 +1300
CV (Part 2),Career Bootcamp,Wellington,d6b3c9c2960b70bf7c30e9b24476c0e7,preparing,registered,FALSE,studying,Victoria University of Wellington,BE Honours in Software ,1,FALSE,Wellington,2017-03-10 20:10:53 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,5c384e0935a0d4add9291eba11e6c021,hidden,registered,FALSE,studying,Victoria University of Wellington,BE (Hons) in Electronic and Computer Systems Engineering,1,FALSE,,2017-03-10 20:29:18 +1300
CV (part 1),Career Bootcamp,Wellington,5c384e0935a0d4add9291eba11e6c021,hidden,registered,FALSE,studying,Victoria University of Wellington,BE (Hons) in Electronic and Computer Systems Engineering,1,FALSE,,2017-03-10 20:34:08 +1300
CV (Part 2),Career Bootcamp,Wellington,5c384e0935a0d4add9291eba11e6c021,hidden,registered,FALSE,studying,Victoria University of Wellington,BE (Hons) in Electronic and Computer Systems Engineering,1,FALSE,,2017-03-10 20:36:58 +1300
CV (part 1),Career Bootcamp,Wellington,51eaccff362a9013b04c2fd52cdaecfb,preparing,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering Majoring in Software,1,FALSE,Wellington,2017-03-10 21:09:06 +1300
CV (Part 2),Career Bootcamp,Wellington,51eaccff362a9013b04c2fd52cdaecfb,preparing,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering Majoring in Software,1,FALSE,Wellington,2017-03-10 21:10:01 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,bc7e79a016caa2f978ef817d107515fb,available,registered,FALSE,studying,Whitireia New Zealand,Postgraduate Diploma in Information Technology,1,TRUE,Wellington,2017-03-11 00:33:34 +1300
CV (part 1),Career Bootcamp,Wellington,bc7e79a016caa2f978ef817d107515fb,available,registered,FALSE,studying,Whitireia New Zealand,Postgraduate Diploma in Information Technology,1,TRUE,Wellington,2017-03-11 01:05:04 +1300
CV (Part 2),Career Bootcamp,Wellington,bc7e79a016caa2f978ef817d107515fb,available,registered,TRUE,studying,Whitireia New Zealand,Postgraduate Diploma in Information Technology,1,TRUE,Wellington,2017-03-11 01:05:15 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,4050d49e9f7fd1248164709212801cd2,preparing,registered,TRUE,studying,Victoria University of Wellington,BE in Software Engineering,1,FALSE,Wellington,2017-03-11 12:52:20 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,9c6e8da6a7d34b9804e2dd87b04feefa,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering with Honours – BE(Hons),2,FALSE,Wellington,2017-03-11 13:55:47 +1300
CV (part 1),Career Bootcamp,Wellington,9c6e8da6a7d34b9804e2dd87b04feefa,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering with Honours – BE(Hons),2,FALSE,Wellington,2017-03-11 13:56:33 +1300
CV (Part 2),Career Bootcamp,Wellington,9c6e8da6a7d34b9804e2dd87b04feefa,available,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering with Honours – BE(Hons),2,FALSE,Wellington,2017-03-11 13:56:35 +1300
CV (part 1),Career Bootcamp,Wellington,2a9de499430dce4d020dcc2852a5be5c,hidden,registered,TRUE,studying,Victoria University of Wellington,Bachelor of Engineering (Hons),2,FALSE,"Masterton, PalmerstonNorth, Wellington",2017-03-11 15:05:57 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,2c3c080b8a4d12ee92ef4502c17f2aca,available,registered,TRUE,studying,Victoria University of Wellington,BE (Hons) Electronics & Computer Sys Engineering,1,FALSE,Wellington,2017-03-11 16:26:43 +1300
CV (part 1),Career Bootcamp,Wellington,2c3c080b8a4d12ee92ef4502c17f2aca,available,registered,TRUE,studying,Victoria University of Wellington,BE (Hons) Electronics & Computer Sys Engineering,1,FALSE,Wellington,2017-03-11 16:29:20 +1300
CV (Part 2),Career Bootcamp,Wellington,2c3c080b8a4d12ee92ef4502c17f2aca,available,registered,TRUE,studying,Victoria University of Wellington,BE (Hons) Electronics & Computer Sys Engineering,1,FALSE,Wellington,2017-03-11 16:30:27 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,38e1b30fe1a4fc85e69dbdafc1eb5f26,available,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,3,TRUE,Wellington,2017-03-11 17:34:41 +1300
CV (part 1),Career Bootcamp,Wellington,38e1b30fe1a4fc85e69dbdafc1eb5f26,available,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,3,TRUE,Wellington,2017-03-11 17:35:43 +1300
CV (Part 2),Career Bootcamp,Wellington,38e1b30fe1a4fc85e69dbdafc1eb5f26,available,registered,TRUE,studying,Victoria University of Wellington,BSc in Computer Science,3,TRUE,Wellington,2017-03-11 17:36:02 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,7844595f6a8744a9db18d581bd67ca2c,hidden,late_withdrawal,FALSE,graduated,Enspiral Dev Academy,Full stack web development course,1,TRUE,,2017-03-11 19:07:49 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,a005cb52667e21de745c46aaa46ba144,preparing,registered,TRUE,studying,Victoria University of Wellington,BEHONS in Engineering,1,FALSE,Wellington,2017-03-11 21:50:12 +1300
CV (part 1),Career Bootcamp,Wellington,a005cb52667e21de745c46aaa46ba144,preparing,registered,TRUE,studying,Victoria University of Wellington,BEHONS in Engineering,1,FALSE,Wellington,2017-03-11 21:50:25 +1300
CV (Part 2),Career Bootcamp,Wellington,a005cb52667e21de745c46aaa46ba144,preparing,registered,TRUE,studying,Victoria University of Wellington,BEHONS in Engineering,1,FALSE,Wellington,2017-03-11 21:50:36 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,a61242ff34fc4da027985d169a233847,preparing,registered,FALSE,studying,Victoria University of Wellington,BEHONS Software Engineering,1,FALSE,"Wellington, Auckland, Hamilton, Tauranga, Christchurch, PalmerstonNorth, Dunedin",2017-03-11 22:17:58 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,f363ad21daa7947b910cb2791ca43c46,preparing,registered,FALSE,studying,Victoria University of Wellington,BE(HONS),1,FALSE,"Auckland, Wellington",2017-03-11 22:19:55 +1300
CV (part 1),Career Bootcamp,Wellington,f363ad21daa7947b910cb2791ca43c46,preparing,registered,TRUE,studying,Victoria University of Wellington,BE(HONS),1,FALSE,"Auckland, Wellington",2017-03-11 22:20:01 +1300
CV (Part 2),Career Bootcamp,Wellington,f363ad21daa7947b910cb2791ca43c46,preparing,registered,TRUE,studying,Victoria University of Wellington,BE(HONS),1,FALSE,"Auckland, Wellington",2017-03-11 22:20:04 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,a3af53a7bba83ffa5b3b83fd81baaba9,preparing,registered,FALSE,studying,Victoria University of Wellington,BE in Electrical and Computer Systems Engineering,1,FALSE,Wellington,2017-03-11 23:45:29 +1300
CV (part 1),Career Bootcamp,Wellington,a3af53a7bba83ffa5b3b83fd81baaba9,preparing,registered,FALSE,studying,Victoria University of Wellington,BE in Electrical and Computer Systems Engineering,1,FALSE,Wellington,2017-03-11 23:45:52 +1300
CV (Part 2),Career Bootcamp,Wellington,a3af53a7bba83ffa5b3b83fd81baaba9,preparing,registered,FALSE,studying,Victoria University of Wellington,BE in Electrical and Computer Systems Engineering,1,FALSE,Wellington,2017-03-11 23:45:59 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,dc8856fffa8740cd5803661a0678d20f,preparing,registered,TRUE,studying,Victoria University of Wellington,Bsc in Computer Science and Computer Graphics,1,FALSE,Wellington,2017-03-12 11:42:30 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,385047e41975b70d49cc4490cfd22ffc,available,registered,FALSE,studying,Victoria University of Wellington,BSc; majoring in Computer Science and Information Systems,1,FALSE,Wellington,2017-03-12 12:01:12 +1300
Intro to Summer of Tech (and How To Get a Job),Career Bootcamp,Wellington,68648093780d4421e0d9628affcfd569,preparing,registered,TRUE,studying,Victoria University of Wellington,BE(hons) in software engineering,1,FALSE,Wellington,2017-03-12 12:40:08 +1300
